variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
zone_concat,42,random_paired,42,0.0834142640233039,0.1383686810731887,6.218041852116585,0.0817544236779213,0.0854925215244293,0.103694163262844,0.081517606973648,0.0951241701841354,0.0882131978869438,0.0789587795734405,0.0748497247695922,0.0837743431329727,0.0863863229751586,100,358452,9.9,cpu,ok,2026-08-22T00:10:06
zone_concat,43,random_paired,43,0.0973360389471054,0.1736360043287277,7.163342833518982,0.0953268110752105,0.0985819324851036,0.1208568215370178,0.0998112708330154,0.1117062643170356,0.103349968791008,0.091025672852993,0.0891830548644065,0.097044862806797,0.083705186843872,78,358452,7.0,cpu,ok,2026-08-22T00:10:13
zone_concat,44,random_paired,44,0.0765661299228668,0.1360796093940735,5.910611525177956,0.07562917470932,0.0780396983027458,0.0866122394800186,0.0786828622221946,0.0843973457813263,0.0777887925505638,0.0731641799211502,0.0726892873644828,0.0765160024166107,0.0841595232486724,100,358452,9.9,cpu,ok,2026-08-22T00:10:23
zone_concat,45,random_paired,45,0.0763940215110778,0.1459202766418457,5.770440027117729,0.0752158835530281,0.0782374590635299,0.0879208296537399,0.0805971696972847,0.0856721699237823,0.0803353711962699,0.071411557495594,0.0742056220769882,0.0762733072042465,0.0778359919786453,100,358452,10.2,cpu,ok,2026-08-22T00:10:33
zone_concat,46,random_paired,46,0.0727575942873954,0.1292485892772674,5.505296587944031,0.0713966563344001,0.0739184319972992,0.0846446305513382,0.0741517841815948,0.0818589925765991,0.0744723379611969,0.0698355510830879,0.0685346201062202,0.0728046745061874,0.072677731513977,100,358452,10.3,cpu,ok,2026-08-22T00:10:44
zone_weight,42,random_paired,42,0.0865624621510505,0.1441181898117065,6.373126804828644,0.0859811678528785,0.0883002206683158,0.1052761226892471,0.0824879109859466,0.0939987376332283,0.0936570391058921,0.0830635428428649,0.0811555609107017,0.0869815126061439,0.0879067778587341,100,358452,9.8,cpu,ok,2026-08-22T00:10:54
zone_weight,43,random_paired,43,0.0959718823432922,0.1851937025785446,6.85759037733078,0.0920763462781906,0.0976130217313766,0.1224909201264381,0.0980201214551925,0.1122282370924949,0.0979648604989051,0.0886978730559349,0.0889271795749664,0.0951033383607864,0.0867101624608039,85,358452,7.7,cpu,ok,2026-08-22T00:11:01
zone_weight,44,random_paired,44,0.1109103187918663,0.1830050200223922,8.175864815711975,0.1087324172258377,0.1131680905818939,0.1323728263378143,0.1135396435856819,0.1236048340797424,0.1145299077033996,0.1049442216753959,0.1048205271363258,0.1103798747062683,0.1276296526193618,51,358452,4.6,cpu,ok,2026-08-22T00:11:06
zone_weight,45,random_paired,45,0.1012298986315727,0.1743927150964737,7.6401688158512115,0.097918190062046,0.1030605360865593,0.1240287944674491,0.1049847155809402,0.1167418882250785,0.103835329413414,0.0948024541139602,0.0948923453688621,0.100648820400238,0.1182881146669387,98,358452,9.5,cpu,ok,2026-08-22T00:11:15
zone_weight,46,random_paired,46,0.0786139145493507,0.1341577023267746,5.9935178607702255,0.0773892551660537,0.0791267827153205,0.086774855852127,0.0793104022741317,0.0872976183891296,0.0795086622238159,0.0762169808149337,0.077141985297203,0.0786588340997695,0.0772764980792999,100,358452,9.4,cpu,ok,2026-08-22T00:11:25
zone_full,42,random_paired,42,0.0885251462459564,0.1424047946929931,6.641959398984909,0.0863477811217308,0.0905952900648117,0.1061777919530868,0.0851997807621955,0.0976611748337745,0.0913940593600273,0.0853830426931381,0.0811077132821083,0.0885991230607032,0.0883726626634597,100,358452,9.5,cpu,ok,2026-08-22T00:11:34
